time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
0,1 added to ready queue (prio=4),enqueue,1,,['1'],[],[None],"[None, None]"
0,2 added to ready queue (prio=2),enqueue,2,,"['2', '1']",[],[None],"[None, None]"
0,3 added to ready queue (prio=2),enqueue,3,,"['2', '3', '1']",[],[None],"[None, None]"
0,4 added to ready queue (prio=2),enqueue,4,,"['2', '3', '4', '1']",[],[None],"[None, None]"
0,5 added to ready queue (prio=5),enqueue,5,,"['2', '3', '4', '1', '5']",[],[None],"[None, None]"
0,6 added to ready queue (prio=4),enqueue,6,,"['2', '3', '4', '1', '6', '5']",[],[None],"[None, None]"
0,7 added to ready queue (prio=7),enqueue,7,,"['2', '3', '4', '1', '6', '5', '7']",[],[None],"[None, None]"
0,8 added to ready queue (prio=3),enqueue,8,,"['2', '3', '4', '8', '1', '6', '5', '7']",[],[None],"[None, None]"
0,9 added to ready queue (prio=3),enqueue,9,,"['2', '3', '4', '8', '9', '1', '6', '5', '7']",[],[None],"[None, None]"
0,10 added to ready queue (prio=5),enqueue,10,,"['2', '3', '4', '8', '9', '1', '6', '10', '5', '7']",[],[None],"[None, None]"
0,11 added to ready queue (prio=3),enqueue,11,,"['2', '3', '4', '11', '8', '9', '1', '6', '10', '5', '7']",[],[None],"[None, None]"
0,12 added to ready queue (prio=5),enqueue,12,,"['2', '3', '4', '11', '8', '9', '1', '6', '10', '12', '5', '7']",[],[None],"[None, None]"
0,13 added to ready queue (prio=5),enqueue,13,,"['2', '3', '4', '11', '8', '9', '1', '6', '10', '12', '13', '5', '7']",[],[None],"[None, None]"
0,14 added to ready queue (prio=4),enqueue,14,,"['2', '3', '4', '11', '8', '9', '1', '14', '6', '10', '12', '13', '5', '7']",[],[None],"[None, None]"
0,15 added to ready queue (prio=4),enqueue,15,,"['2', '3', '4', '11', '8', '9', '1', '14', '15', '6', '10', '12', '13', '5', '7']",[],[None],"[None, None]"
0,16 added to ready queue (prio=6),enqueue,16,,"['2', '3', '4', '11', '8', '9', '1', '14', '15', '6', '10', '12', '13', '5', '16', '7']",[],[None],"[None, None]"
0,17 added to ready queue (prio=7),enqueue,17,,"['2', '3', '4', '11', '8', '9', '1', '14', '15', '6', '10', '12', '13', '5', '16', '17', '7']",[],[None],"[None, None]"
0,18 added to ready queue (prio=6),enqueue,18,,"['2', '3', '4', '11', '8', '9', '1', '14', '15', '6', '10', '12', '13', '5', '16', '18', '17', '7']",[],[None],"[None, None]"
0,19 added to ready queue (prio=3),enqueue,19,,"['2', '3', '4', '11', '19', '8', '9', '1', '14', '15', '6', '10', '12', '13', '5', '16', '18', '17', '7']",[],[None],"[None, None]"
0,20 added to ready queue (prio=5),enqueue,20,,"['2', '3', '4', '11', '19', '8', '9', '1', '14', '15', '6', '10', '12', '13', '20', '5', '16', '18', '17', '7']",[],[None],"[None, None]"
